deal_id,funded_amount,funded_date,industry_id
a4Gf1000000nSQ2EAM,8800,3/22/2019,4
a4Gf1000000nSQ8EAM,7000,1/11/2020,3
a4Gf1000000nSQBEA2,5600,11/1/2019,3
a4Gf1000000nSQCEA2,7500,4/19/2018,2
a4Gf1000000nSQDEA2,4000,4/29/2020,2
a4Gf1000000nSQFEA2,45000,12/20/2019,2
a4Gf1000000nSQNEA2,7800,5/19/2019,4
a4Gf1000000nSQPEA2,13000,10/11/2018,4
a4Gf1000000nSQTEA2,5500,11/29/2020,2
a4Gf1000000nSQWEA2,20000,9/8/2020,2
a4Gf1000000nSQgEAM,3500,5/8/2020,4
a4Gf1000000nSQkEAM,5500,1/26/2020,2
a4Gf1000000nSQlEAM,10000,3/10/2018,3
a4Gf1000000nSQmEAM,12000,9/7/2018,3
a4Gf1000000nSQoEAM,35000,8/7/2018,2
a4Gf1000000nSQqEAM,125000,2/23/2020,2
a4Gf1000000nSQsEAM,6500,11/28/2019,2
a4Gf1000000nSQtEAM,5500,8/25/2020,4
a4Gf1000000nSRFEA2,9000,6/10/2018,3
a4Gf1000000nSRGEA2,20000,2/23/2019,3
a4Gf1000000nSRKEA2,17000,7/11/2020,3
a4Gf1000000nSRREA2,5000,9/28/2020,2
a4Gf1000000nSRXEA2,13000,12/27/2020,2
a4Gf1000000nSRYEA2,20000,11/10/2018,2
a4Gf1000000nSRiEAM,16500,12/12/2020,2
a4Gf1000000nSRmEAM,6000,12/10/2020,2
a4Gf1000000nSRsEAM,4500,4/10/2019,2
a4Gf1000000nSRuEAM,20000,3/3/2019,4
a4Gf1000000nSRwEAM,1700,3/4/2018,3
a4Gf1000000nSRzEAM,3500,12/10/2020,3
a4Gf1000000nSS0EAM,70000,5/20/2020,1
a4Gf1000000nSS3EAM,2240,11/14/2019,4
a4Gf1000000nSS7EAM,37500,1/23/2018,3
a4Gf1000000nSSAEA2,7000,5/20/2019,4
a4Gf1000000nSSJEA2,12000,11/6/2019,3
a4Gf1000000nSSKEA2,5000,2/18/2020,2
a4Gf1000000nSSLEA2,7000,1/13/2020,3
a4Gf1000000nSSOEA2,35000,5/3/2020,2
a4Gf1000000nSSYEA2,35000,2/4/2019,2
a4Gf1000000nSScEAM,2200,11/28/2020,4
a4Gf1000000nSShEAM,2000,7/11/2020,4
a4Gf1000000nSSjEAM,15000,4/5/2020,3
a4Gf1000000nSSsEAM,8800,12/14/2020,1
a4Gf1000000nSSwEAM,12000,12/6/2019,3
a4Gf1000000nSSyEAM,5600,3/26/2019,2
a4Gf1000000nST1EAM,10000,8/5/2020,2
a4Gf1000000nST3EAM,7040,11/28/2019,4
a4Gf1000000nST6EAM,3800,6/15/2020,4
a4Gf1000000nSTCEA2,20000,10/2/2018,2
a4Gf1000000nSTDEA2,40000,10/29/2020,4
a4Gf1000000nSTEEA2,7000,7/4/2018,4
a4Gf1000000nSTJEA2,4500,11/17/2020,2
a4Gf1000000nSTNEA2,30000,11/4/2019,4
a4Gf1000000nSdvEAE,10000,7/29/2018,1
a4Gf1000000nSe0EAE,14000,1/11/2020,3
a4Gf1000000nSe1EAE,10000,2/5/2019,2
a4Gf1000000nSe3EAE,15000,4/24/2019,4
a4Gf1000000nSe5EAE,25000,4/23/2018,1
a4Gf1000000nSeDEAU,5600,11/10/2018,4
a4Gf1000000nSeLEAU,5500,4/20/2019,2
a4Gf1000000nSeXEAU,15000,8/18/2018,3
a4Gf1000000nSeZEAU,12000,10/29/2019,1
a4Gf1000000nSebEAE,4000,6/2/2018,1
a4Gf1000000nSedEAE,16000,4/9/2020,2
a4Gf1000000nSekEAE,2800,12/19/2019,2
a4Gf1000000nSenEAE,24000,2/11/2018,2
a4Gf1000000nSepEAE,14000,3/26/2018,4
a4Gf1000000nSesEAE,8800,5/13/2020,4
a4Gf1000000nSetEAE,6000,9/13/2020,2
a4Gf1000000nSewEAE,10000,8/21/2020,2
a4Gf1000000nSf9EAE,4500,6/27/2019,3
a4Gf1000000nSfCEAU,17000,11/2/2019,3
a4Gf1000000nSfDEAU,3500,7/28/2020,2
a4Gf1000000nSfLEAU,2500,3/10/2020,2
a4Gf1000000nSfOEAU,10000,10/23/2019,4
a4Gf1000000nSfVEAU,3500,5/16/2019,2
a4Gf1000000nSfXEAU,10000,8/10/2020,2
a4Gf1000000nSfbEAE,2500,3/9/2018,2
a4Gf1000000nSfdEAE,5000,3/21/2019,4
a4Gf1000000nSfgEAE,35000,9/5/2018,2
a4Gf1000000nSfiEAE,150000,1/10/2020,1
a4Gf1000000nSfjEAE,11000,9/12/2019,4
a4Gf1000000nSfqEAE,82500,2/8/2019,2
a4Gf1000000nSftEAE,15000,4/16/2019,1
